input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
"input: [SCENE]: You are in the city's plague ward, tending to the sick.","output: [OUTCOME]: You recognize the symptoms—a faint grey shimmer on the skin and recurring nightmares. This is the work of a Dream Spore, a dangerous magical fungus."
"input: [SCENE]: You are in the city's plague ward, tending to the sick.","output: [OUTCOME]: The symptoms are unlike any you have ever studied. The plague is both magical and aggressive, but its specific nature is a mystery to you."
"input: [SCENE]: You are in a vast, open desert, and your water supply is dangerously low.","output: [OUTCOME]: Your sharp eyes spot a small patch of green on the horizon, far in the distance. It's a long shot, but it's the only sign of vegetation, and therefore water, for miles."
"input: [SCENE]: You are in a vast, open desert, and your water supply is dangerously low.",output: [OUTCOME]: The heat haze warps the horizon. All you can see in any direction is an endless sea of sand. There are no signs of water.
"input: [SCENE]: You are in a noble's ballroom, trying to identify a rival cultist hiding among the guests.",output: [OUTCOME]: You scan the crowd and your eyes land on a man in fine clothes whose shadow seems to stretch and twist in unnatural ways. That has to be him.
"input: [SCENE]: You are in a noble's ballroom, trying to identify a rival cultist hiding among the guests.","output: [OUTCOME]: Everyone here is a master of deception, wearing social masks. You can't sense any specific dark energy among the general air of political intrigue."
input: [SCENE]: You are chasing a thief across the rooftops of the city.,"output: [OUTCOME]: You clear the gap with ease, your heavy armor barely a hindrance. You are gaining on the thief."
input: [SCENE]: You are chasing a thief across the rooftops of the city.,"output: [OUTCOME]: The weight of your armor throws off your jump. You land hard on the edge of the next roof, stumbling and losing precious time as the thief gets away."
"input: [SCENE]: You must cross a narrow, crumbling stone bridge over a deep chasm.","output: [OUTCOME]: With perfect focus, you move across the bridge, your steps light and sure. The crumbling stone holds, and you reach the other side safely."
"input: [SCENE]: You must cross a narrow, crumbling stone bridge over a deep chasm.","output: [OUTCOME]: A section of the bridge crumbles under your foot! You windmill your arms, barely managing to jump back to the side you started from."
"input: [SCENE]: You are in a cave and find a large, sleeping bear. You need to get past it without waking it.",output: [OUTCOME]: You move with the silence of a falling leaf. The bear snuffles in its sleep but does not stir as you slip by.
"input: [SCENE]: You are in a cave and find a large, sleeping bear. You need to get past it without waking it.","output: [OUTCOME]: You accidentally kick a small pebble, which skitters across the cave floor. The bear's eyes snap open, and it rises with an angry growl."
input: [SCENE]: You need to create a convincing forgery of a royal seal to read a secret message.,output: [OUTCOME]: You meticulously craft a copy of the seal in wax. It's a near-perfect match that should fool a cursory inspection.
input: [SCENE]: You need to create a convincing forgery of a royal seal to read a secret message.,output: [OUTCOME]: Your hand slips as you carve the fine details. The resulting forgery is clumsy and would not fool anyone who has seen the real seal.
input: [SCENE]: You are in a tense negotiation with an orc chieftain.,"output: [OUTCOME]: You meet the chieftain's gaze and slam your axe onto the table. The chieftain, respecting your show of strength, gives a guttural laugh and agrees."
input: [SCENE]: You are in a tense negotiation with an orc chieftain.,output: [OUTCOME]: The chieftain is unimpressed by your posturing. He sees it as a sign of desperation and becomes even more stubborn in his demands.
input: [SCENE]: A door is sealed with a magical glyph that explodes when touched.,"output: [OUTCOME]: You carefully weave a counter-spell, unraveling the magic of the glyph. It fades with a soft hiss, rendered inert."
input: [SCENE]: A door is sealed with a magical glyph that explodes when touched.,"output: [OUTCOME]: You make a mistake in the counter-spell. The glyph flares brightly, and you are thrown back by a powerful magical explosion."
input: [SCENE]: You are trying to convince a skeptical mayor to fund your expedition.,output: [OUTCOME]: Your tale is so captivating that the mayor is swept up in the vision of glory. He enthusiastically agrees to provide the funds.
input: [SCENE]: You are trying to convince a skeptical mayor to fund your expedition.,"output: [OUTCOME]: Your story is a bit too embellished, and the mayor sees right through it. He dismisses you as a common charlatan."
input: [SCENE]: You are trying to recall an obscure passage from your holy text that deals with shadow demons.,"output: [OUTCOME]: After a moment of quiet contemplation, the words come to you: 'And the shadow shall flee not from the sword, but from the light of a repentant heart.'"
input: [SCENE]: You are trying to recall an obscure passage from your holy text that deals with shadow demons.,"output: [OUTCOME]: You know you've read something on the topic, but the vastness of your holy book is too great. The specific passage eludes you."
input: [SCENE]: A small child has fallen into a river's rapids.,"output: [OUTCOME]: You fight the strong current, reaching the child and pulling them safely to the riverbank, exhausted but successful."
input: [SCENE]: A small child has fallen into a river's rapids.,"output: [OUTCOME]: The current is far stronger than you anticipated. It batters you against the rocks, and the child is swept further downstream before you can reach them."
input: [SCENE]: You are standing before a statue of an ancient god.,"output: [OUTCOME]: As you focus, you can feel a faint, dormant power within the stone. The god is long gone, but a tiny spark of its divinity remains."
input: [SCENE]: You are standing before a statue of an ancient god.,output: [OUTCOME]: The statue is just old stone. Whatever divine power it once held has faded completely over the long centuries.
input: [SCENE]: You are accused of a crime you didn't commit.,"output: [OUTCOME]: You speak with honor and conviction. The sincerity in your voice is palpable, and the magistrates agree to look more deeply into the matter, suspecting a setup."
input: [SCENE]: You are accused of a crime you didn't commit.,"output: [OUTCOME]: Your earnest plea is dismissed as the desperate words of a guilty man. The evidence against you is strong, and your honor alone is not enough to sway them."
input: [SCENE]: You are being shot at by archers from a wall.,"output: [OUTCOME]: Your movements are a blur. You slap aside two arrows and catch a third, spinning to a halt completely unharmed. The archers stare in disbelief."
input: [SCENE]: You are being shot at by archers from a wall.,"output: [OUTCOME]: You manage to deflect the first arrow, but you are not fast enough for the second. It sinks into your shoulder with a painful thud."
"input: [SCENE]: You find a plant you don't recognize with strange, glowing berries.","output: [OUTCOME]: You recognize this as a Moonpetal Blossom. Its berries are not poisonous, and in fact have minor healing properties when crushed into a paste."
