input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: You accidentally kick a small pebble, which skitters across the cave floor. The bear's eyes snap open, and it rises with an angry growl."
input: [CHECK]: Forgery Kit[PASS/FAIL]: Pass,output: [OUTCOME]: You meticulously craft a copy of the seal in wax. It's a near-perfect match that should fool a cursory inspection.
input: [CHECK]: Forgery Kit[PASS/FAIL]: Fail,output: [OUTCOME]: Your hand slips as you carve the fine details. The resulting forgery is clumsy and would not fool anyone who has seen the real seal.
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: You meet the chieftain's gaze and slam your axe onto the table. The chieftain, respecting your show of strength, gives a guttural laugh and agrees."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,output: [OUTCOME]: The chieftain is unimpressed by your posturing. He sees it as a sign of desperation and becomes even more stubborn in his demands.
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully weave a counter-spell, unraveling the magic of the glyph. It fades with a soft hiss, rendered inert."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: You make a mistake in the counter-spell. The glyph flares brightly, and you are thrown back by a powerful magical explosion."
input: [CHECK]: Performance[PASS/FAIL]: Pass,output: [OUTCOME]: Your tale is so captivating that the mayor is swept up in the vision of glory. He enthusiastically agrees to provide the funds.
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your story is a bit too embellished, and the mayor sees right through it. He dismisses you as a common charlatan."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: After a moment of quiet contemplation, the words come to you: 'And the shadow shall flee not from the sword, but from the light of a repentant heart.'"
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: You know you've read something on the topic, but the vastness of your holy book is too great. The specific passage eludes you."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You fight the strong current, reaching the child and pulling them safely to the riverbank, exhausted but successful."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The current is far stronger than you anticipated. It batters you against the rocks, and the child is swept further downstream before you can reach them."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: As you focus, you can feel a faint, dormant power within the stone. The god is long gone, but a tiny spark of its divinity remains."
input: [CHECK]: Religion[PASS/FAIL]: Fail,output: [OUTCOME]: The statue is just old stone. Whatever divine power it once held has faded completely over the long centuries.
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: You speak with honor and conviction. The sincerity in your voice is palpable, and the magistrates agree to look more deeply into the matter, suspecting a setup."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: Your earnest plea is dismissed as the desperate words of a guilty man. The evidence against you is strong, and your honor alone is not enough to sway them."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: Your movements are a blur. You slap aside two arrows and catch a third, spinning to a halt completely unharmed. The archers stare in disbelief."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: You manage to deflect the first arrow, but you are not fast enough for the second. It sinks into your shoulder with a painful thud."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize this as a Moonpetal Blossom. Its berries are not poisonous, and in fact have minor healing properties when crushed into a paste."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: You have never seen a plant like this before. Its vibrant glow could be a sign of potent magic, or a warning of deadly poison. You cannot be sure."
input: [CHECK]: Survival[PASS/FAIL]: Pass,output: [OUTCOME]: You spot a series of rock outcroppings in the distance that could provide some much-needed shade from the sun.
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The desert is a flat, endless sea of sand in every direction. There is no shade or shelter to be found."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With a roar, you press your shoulder into the splintering wood. Your muscles bulge as you hold the mast in place, giving the crew time to secure it with ropes."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: Even your incredible strength is no match for the power of the storm. The mast groans and then snaps completely, crashing down onto the deck."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You explain the complex topic in clear, concise terms. The magistrates listen intently, and your testimony helps them understand the case."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: You get lost in technical jargon and arcane theory. The court is more confused than enlightened by your explanation, and the magistrate dismisses your testimony."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The dragon preens, its rumbling voice filled with vanity. 'At last, a mortal with an eye for true beauty! You may speak, little one.'"
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The dragon lets out a puff of smoke from its nostrils. 'Do not mistake me for a fool, bard. Your cheap flattery is worthless here.'"
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: The griffin seems to sense your benevolent intent and remains still. Your healing magic knits the bone, and the magnificent creature gives you a grateful screech."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: The creature is in too much pain and sees you as a threat. It lashes out with its talons, forcing you to back away."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: After buying a few rounds of ale, a grizzled sailor with a peg leg tells you the beast was last seen near the jagged rocks of the Serpent's Coil."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The sailors are tight-lipped. They either don't know anything or are too superstitious to talk about the creature with a stranger.
input: [CHECK]: Pact Magic[PASS/FAIL]: Pass,"output: [OUTCOME]: You surrender your senses to the alien logic of your patron. It guides your steps through the shifting corridors, leading you toward the heart of the maze."
input: [CHECK]: Pact Magic[PASS/FAIL]: Fail,output: [OUTCOME]: The whispers are a confusing jumble of conflicting directions and maddening secrets. Following them only leads you deeper into the bewildering maze.
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice the diplomat subtly touch the hilt of their sword three times when a certain servant enters the room. It's a clear, pre-arranged signal."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The diplomat is a master of espionage. Their behavior is impeccable, and they give away no clues as to their true intentions."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You take a meditative breath and then deliver a powerful, focused kick. The old wood splinters and the lock breaks, allowing the door to swing open."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: You kick the door hard, but the old iron-banded wood holds firm. You are left with nothing but a bruised foot."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a single, stubborn seed and pour your energy into it. A small, green sapling miraculously sprouts from the poisoned earth, a tiny beacon of hope."
input: [CHECK]: Nature[PASS/FAIL]: Fail,output: [OUTCOME]: The land is too sick. Your magic finds no purchase in the toxic soil. The wasteland remains barren and dead.
input: [CHECK]: Stealth[PASS/FAIL]: Pass,output: [OUTCOME]: You slip into the cold water without a sound. The guards on the bridge remain oblivious as you swim to the other side.
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: You accidentally cause a loud splash as you enter the water. A guard shouts, 'Who's there?' and a spotlight sweeps across the moat."
input: [CHECK]: Constitution[PASS/FAIL]: Pass,output: [OUTCOME]: You grit your teeth against the waves of fever and weakness. Your hardy constitution allows you to shrug off the worst of the illness and press on.
input: [CHECK]: Constitution[PASS/FAIL]: Fail,"output: [OUTCOME]: The fever is too strong. Your vision blurs, and your legs feel like lead. You collapse into the mud, too weak to continue."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: After studying the layout, you realize it's a complex lock for a massive stone door. By moving the levers in the correct sequence, you can open the way."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The mechanism is too complex or too alien in its design. You can't figure out what it's supposed to do, or even if it still works."
input: [CHECK]: Performance[PASS/FAIL]: Pass,output: [OUTCOME]: Your funny story and exaggerated voices have the children in fits of laughter. They forget all about the scary monster.
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your story is not very funny, and your attempts at humor only make the children more anxious and upset."
input: [CHECK]: Insight[PASS/FAIL]: Pass,output: [OUTCOME]: You notice the official makes a strange hand gesture when he thinks no one is looking—a gesture you recognize from your studies of the cult.
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The official is the picture of innocence. They are either not a cultist, or they are exceptionally good at hiding it."
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: You close your eyes and focus. You can feel the slight draft of air that indicates a passage, and you can hear the drip of water to your left."
input: [CHECK]: Perception[PASS/FAIL]: Fail,output: [OUTCOME]: The darkness is absolute and the silence is oppressive. You are completely disoriented and have no idea which way to go.
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You unleash a crackling beam of raw chaos. Your rival's shield shatters under the assault, and they are thrown to the ground."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: Your rival anticipates your attack, raising a shimmering magical ward that absorbs your blast completely, leaving you open to a counter-attack."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: With powerful swings of your axe, you fell a massive tree, which crashes across the river, providing a safe crossing for the villagers."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: You swing your axe, but the tree is too thick and your axe is dull. You barely make a dent in the trunk after several minutes of exhausting work."
input: [CHECK]: Wisdom[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus on your breathing, and the outside world fades away. You find your center, and the noises become a distant, meaningless hum."
input: [CHECK]: Wisdom[PASS/FAIL]: Fail,"output: [OUTCOME]: The noises are too jarring. Every time you begin to find focus, a loud crash or shout breaks your concentration. Meditation is impossible."
input: [CHECK]: Survival[PASS/FAIL]: Pass,output: [OUTCOME]: You place your palm on the dusty ground and feel for the tell-tale signs of life. You sense a small underground spring about a hundred yards to the north.
input: [CHECK]: Survival[PASS/FAIL]: Fail,output: [OUTCOME]: The ground is completely dead and dry. Your magic finds no hint of water for miles around.
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: The centaurs notice your respectful approach. Their elder approaches you cautiously, but with an open mind, willing to speak."
input: [CHECK]: Nature[PASS/FAIL]: Fail,output: [OUTCOME]: You accidentally misinterpret one of their rituals as a sign of aggression and approach at the wrong time. The centaurs see you as a threat and raise their bows.
