input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I step between them and call for peace in a God's name. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: Their hunger and desperation make them deaf to your words. 'Your faith won't fill our bellies!' one of them shouts, and the argument escalates."
input:  [ACTION]: I watch their patrol patterns to determine the best time to sneak in. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: After watching for an hour, you've memorized their routes. There's a five-minute window every half-hour when the camp's west entrance is completely unguarded."
input:  [ACTION]: I watch their patrol patterns to determine the best time to sneak in. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The goblins are disorganized and chaotic. There are no discernible patterns to their patrols, making it impossible to predict a safe time to enter."
input:  [ACTION]: I try to convince the magistrate that I am innocent of any crime. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: You choose your words carefully, painting yourself as a misunderstood scholar. The magistrate, lacking concrete evidence, grudgingly releases you with a warning."
input:  [ACTION]: I try to convince the magistrate that I am innocent of any crime. [CHECK]: Deception [PASS/FAIL]: Fail,output: [OUTCOME]: Your strange manner of speaking and the dark aura you exude make your words of innocence sound hollow. The magistrate is unconvinced. 'To the cells!'
input:  [ACTION]: I urge my horse to jump over the log. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: You and your horse are one. It responds instantly, leaping gracefully over the obstacle without breaking its stride."
input:  [ACTION]: I urge my horse to jump over the log. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The horse shies away from the log at the last second, startled. It rears up, and you have to fight to stay in the saddle and bring it back under control."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,output: [OUTCOME]: The air is filled with shouting and the crash of breaking furniture. The other patrons are either fleeing or forming a circle to watch the brawl.
"input:  [ACTION]: I attempt to disarm him using swift, non-lethal strikes. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass","output: [OUTCOME]: You move with disciplined speed. A series of precise strikes to his wrist and elbow forces him to drop the chair leg, his arm numb but unharmed."
"input:  [ACTION]: I attempt to disarm him using swift, non-lethal strikes. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail","output: [OUTCOME]: You move in to strike, but the man swings wildly. You are forced to dodge, and he maintains his grip on the makeshift club."
input:  [ACTION]: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You see an opening. A quick, precise jab to the brawler's shoulder leaves his arm temporarily paralyzed. His aggression turns to shocked confusion."
input:  [ACTION]: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: The brawler is moving too erratically. Your attempt to strike a pressure point misses, and he shoves you back into the crowd."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The sky is choked with orange smoke, and the roar of the fire is deafening. Animals are fleeing in a panic, and the heat is intense even from a distance."
input:  [ACTION]: I call upon the power of the forest to create a path of damp earth for them to escape. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You slam your staff into the ground, and a wave of cool, damp energy flows from you. The underbrush in a direct line to the deer becomes soaked and green, creating a safe path."
input:  [ACTION]: I call upon the power of the forest to create a path of damp earth for them to escape. [CHECK]: Nature [PASS/FAIL]: Fail,"output: [OUTCOME]: You try to channel the forest's energy, but the fire's destructive power is too overwhelming. Your magic sputters, unable to affect the raging inferno."
input:  [ACTION]: I shapeshift into a great eagle to fly above the fire and find its source. [CHECK]: Druidic Magic [PASS/FAIL]: Pass,"output: [OUTCOME]: You soar into the sky, your keen eagle eyes cutting through the smoke. You spot the origin point: an abandoned campfire that was not properly extinguished."
input:  [ACTION]: I shapeshift into a great eagle to fly above the fire and find its source. [CHECK]: Druidic Magic [PASS/FAIL]: Fail,output: [OUTCOME]: The smoke is too thick and the updrafts from the heat are too violent. You are unable to gain enough altitude to see anything useful.
input:  [ACTION]: I look for the trigger mechanism for the magical traps. [CHECK]: Investigation [PASS/FAIL]: Pass,output: [OUTCOME]: You notice that the flagstones around the largest chest have slightly different coloration. They are likely pressure plates for a magical trap.
input:  [ACTION]: I look for the trigger mechanism for the magical traps. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The room appears flawless. The magic is expertly woven into the room's very architecture, leaving no visible clues as to how the traps are triggered."
input:  [ACTION]: I try to give my testimony as clearly as possible. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: Though you are not a man of many words, you speak with a raw honesty that captivates the court. Your testimony is seen as highly credible."
input:  [ACTION]: I try to give my testimony as clearly as possible. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: You are uncomfortable in this formal setting. You fumble your words and come across as gruff and uncooperative, which makes the magistrate doubt your testimony."
input:  [ACTION]: I search my memory for any lore regarding obsidian golem weaknesses. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: You recall a passage from a dusty tome: obsidian golems are vulnerable to sonic attacks, as the vibrations can shatter their crystalline structure."
input:  [ACTION]: I search my memory for any lore regarding obsidian golem weaknesses. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: Your knowledge is vast, but you can't recall anything specific about this type of construct. As far as you know, it has no particular weaknesses."
input:  [ACTION]: I attempt to solve the riddle. [CHECK]: Intelligence [PASS/FAIL]: Pass,"output: [OUTCOME]: You read the riddle and smile. It's an old classic. You speak the answer, and the stone door grinds open."
input:  [ACTION]: I attempt to solve the riddle. [CHECK]: Intelligence [PASS/FAIL]: Fail,"output: [OUTCOME]: The riddle is annoyingly clever, and the answer eludes you. The door remains firmly shut."
input:  [ACTION]: I try to use my knowledge to diagnose the specific type of magical plague. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the symptoms—a faint grey shimmer on the skin and recurring nightmares. This is the work of a Dream Spore, a dangerous magical fungus."
input:  [ACTION]: I try to use my knowledge to diagnose the specific type of magical plague. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: The symptoms are unlike any you have ever studied. The plague is both magical and aggressive, but its specific nature is a mystery to you."
input:  [ACTION]: I scan the horizon for any signs of an oasis or water source. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: Your sharp eyes spot a small patch of green on the horizon, far in the distance. It's a long shot, but it's the only sign of vegetation, and therefore water, for miles."
input:  [ACTION]: I scan the horizon for any signs of an oasis or water source. [CHECK]: Survival [PASS/FAIL]: Fail,output: [OUTCOME]: The heat haze warps the horizon. All you can see in any direction is an endless sea of sand. There are no signs of water.
input:  [ACTION]: I look for someone who seems out of place or shows signs of a dark pact. [CHECK]: Insight [PASS/FAIL]: Pass,output: [OUTCOME]: You scan the crowd and your eyes land on a man in fine clothes whose shadow seems to stretch and twist in unnatural ways. That has to be him.
input:  [ACTION]: I look for someone who seems out of place or shows signs of a dark pact. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: Everyone here is a master of deception, wearing social masks. You can't sense any specific dark energy among the general air of political intrigue."
input:  [ACTION]: I leap from one rooftop to the next in pursuit. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: You clear the gap with ease, your heavy armor barely a hindrance. You are gaining on the thief."
input:  [ACTION]: I leap from one rooftop to the next in pursuit. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The weight of your armor throws off your jump. You land hard on the edge of the next roof, stumbling and losing precious time as the thief gets away."
input:  [ACTION]: I try to maintain my balance as I cross. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: With perfect focus, you move across the bridge, your steps light and sure. The crumbling stone holds, and you reach the other side safely."
input:  [ACTION]: I try to maintain my balance as I cross. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: A section of the bridge crumbles under your foot! You windmill your arms, barely managing to jump back to the side you started from."
input:  [ACTION]: I try to sneak past the sleeping bear. [CHECK]: Stealth [PASS/FAIL]: Pass,output: [OUTCOME]: You move with the silence of a falling leaf. The bear snuffles in its sleep but does not stir as you slip by.
input:  [ACTION]: I try to sneak past the sleeping bear. [CHECK]: Stealth [PASS/FAIL]: Fail,"output: [OUTCOME]: You accidentally kick a small pebble, which skitters across the cave floor. The bear's eyes snap open, and it rises with an angry growl."
input:  [ACTION]: I use my forgery kit to replicate the seal. [CHECK]: Forgery Kit [PASS/FAIL]: Pass,output: [OUTCOME]: You meticulously craft a copy of the seal in wax. It's a near-perfect match that should fool a cursory inspection.
input:  [ACTION]: I use my forgery kit to replicate the seal. [CHECK]: Forgery Kit [PASS/FAIL]: Fail,output: [OUTCOME]: Your hand slips as you carve the fine details. The resulting forgery is clumsy and would not fool anyone who has seen the real seal.
input:  [ACTION]: I try to intimidate the chieftain into accepting our terms. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: You meet the chieftain's gaze and slam your axe onto the table. The chieftain, respecting your show of strength, gives a guttural laugh and agrees."
input:  [ACTION]: I try to intimidate the chieftain into accepting our terms. [CHECK]: Intimidation [PASS/FAIL]: Fail,output: [OUTCOME]: The chieftain is unimpressed by your posturing. He sees it as a sign of desperation and becomes even more stubborn in his demands.
input:  [ACTION]: I attempt to disarm the magical trap. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully weave a counter-spell, unraveling the magic of the glyph. It fades with a soft hiss, rendered inert."
input:  [ACTION]: I attempt to disarm the magical trap. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: You make a mistake in the counter-spell. The glyph flares brightly, and you are thrown back by a powerful magical explosion."
input:  [ACTION]: I tell him a heroic and inspiring story about the potential discoveries. [CHECK]: Performance [PASS/FAIL]: Pass,output: [OUTCOME]: Your tale is so captivating that the mayor is swept up in the vision of glory. He enthusiastically agrees to provide the funds.
